0,1,2,3,4,5,6,7,8,9,10,11,12,etiqueta
-175.1944,147.0049,-20.162512,6.2799907,-10.457217,-26.954405,0.29664403,2.147651,-19.70256,-20.37425,-27.532114,-20.162075,-17.944069,cuatro
-157.61496,130.02528,-8.8417015,18.279743,-14.977661,-30.918287,-4.295443,6.0812006,-26.053743,-24.895414,-22.303083,-28.847132,-10.96639,cuatro
-210.94997,165.14125,-3.6227047,22.510616,-5.27947,-38.019367,2.5105047,16.12315,-18.114954,-21.860111,-24.089327,-23.668829,-19.114017,cuatro
-194.66481,162.29562,-19.634523,9.24089,1.6212889,-10.306943,6.092714,13.597495,-12.92694,-23.847593,-15.687488,-5.079229,-0.9049639,cuatro
-215.18161,165.9021,-14.316521,2.028342,-7.4283476,-19.271135,-3.1122327,4.3698564,-21.577732,-25.144075,-20.691261,-16.566833,-10.314617,cuatro
-165.70796,134.18367,-5.573754,11.539305,-22.072924,-32.984074,0.93326026,6.103991,-31.872852,-27.507877,-25.723888,-25.959164,-1.9563599,cuatro
-166.3512,142.73232,-17.837349,5.593464,-15.297435,-26.50246,-2.8539102,-0.89073056,-21.191238,-24.110636,-24.619614,-19.929276,-14.313029,cuatro
-163.32013,136.85344,-10.890365,7.9140377,-17.178225,-29.486895,-6.4426737,3.6384964,-24.287407,-25.640852,-30.165426,-23.059898,-6.0890718,cuatro
-179.78351,134.83243,-8.710735,8.261923,-19.705328,-30.715902,-2.1398304,5.711191,-31.587318,-30.058102,-25.229336,-22.639015,-1.0699939,cuatro
-192.40031,134.20212,-13.51799,8.064969,-22.62781,-31.780123,2.6641767,6.4136333,-30.54925,-27.581161,-28.373077,-25.468845,-0.54207087,cuatro
-170.31812,114.75837,-3.7553732,8.967188,-42.75591,-25.923265,10.342189,6.201986,-33.465595,-41.51232,-21.727264,-22.427883,-11.288207,dos
-191.31686,120.8114,15.326766,19.901281,-37.646946,-26.59959,2.7296114,10.228409,-33.38346,-34.294174,-26.126196,-30.146603,-0.113641165,dos
-123.15405,68.49576,-0.41490945,34.27316,-16.212685,-11.730066,8.662596,6.638234,-14.462906,-15.19173,-19.585936,-15.77125,-2.1392124,dos
-137.5283,86.97299,2.3769379,28.17208,-12.857931,-20.1578,12.095866,18.90128,-14.696328,-27.816307,-23.39039,-16.4558,-2.212049,dos
-171.47029,112.46098,7.6844125,26.659403,-30.11193,-29.124907,13.8672905,9.224857,-32.61893,-32.102192,-33.81769,-32.74252,2.7524161,dos
-166.13821,112.78203,12.846257,21.59842,-35.116264,-28.350454,12.389229,4.594007,-32.212852,-29.950123,-31.426676,-28.278818,3.9730048,dos
-179.96832,115.138885,7.859012,25.785896,-28.5444,-35.341835,12.55001,11.529036,-29.93413,-26.30544,-34.34001,-34.448208,-1.8318163,dos
-147.33316,117.830475,1.0987396,20.52021,-27.888298,-26.261341,11.490743,5.205946,-25.56437,-29.657188,-33.504757,-29.14785,-6.5690207,dos
-165.04283,118.588905,7.703066,25.055769,-30.130278,-29.4491,4.4452515,11.620293,-28.24266,-33.89953,-31.070328,-37.435944,-7.138827,dos
-171.75273,118.06001,5.8320746,21.394709,-31.285954,-28.783325,6.8940325,10.061349,-33.4472,-36.427467,-35.98342,-27.826496,2.1124392,dos
-152.96375,84.939835,-18.216133,44.46017,24.905087,-29.19615,-16.374966,0.34279627,-14.413736,-25.034813,-42.725235,-23.027187,-1.7038492,tres
-132.67032,89.51468,-25.920818,37.850803,29.314117,-18.357832,-22.001429,-16.378183,-19.194351,-27.220697,-39.37834,-23.527931,-2.7304587,tres
-114.9049,91.306656,-30.217583,25.940403,15.527508,-28.693771,-25.521442,-2.404463,-16.232101,-24.6778,-30.969543,-23.865131,-3.4640799,tres
-137.94505,79.70044,-22.73178,34.694153,20.083162,-20.983564,-21.966928,-6.8413634,-15.014905,-26.9239,-34.563316,-21.209269,-5.2056756,tres
-124.06619,85.26139,-17.673424,42.293354,26.127314,-12.815463,-23.551352,-9.485543,-14.727993,-26.730728,-36.83428,-17.128777,-0.19755957,tres
-170.08249,84.8007,-28.069687,33.453194,24.242,-16.108349,-29.31041,-5.323078,-17.14708,-29.954052,-33.013504,-24.230303,4.4757247,tres
-133.8677,93.73856,-27.738577,30.743431,32.3067,-15.683361,-25.39713,-13.983544,-12.043619,-25.852676,-41.259117,-14.592042,-2.2171757,tres
-110.45338,82.56628,-36.931873,35.198574,28.818056,-27.79182,-22.845911,-12.821779,-20.591295,-23.25854,-41.68198,-22.574408,-0.8178235,tres
-195.30934,86.24073,-21.720959,37.524742,21.54251,-15.454931,-24.320904,-10.700812,-14.547391,-24.386812,-33.133423,-15.805252,-1.8865342,tres
-226.39294,163.16237,9.546958,21.937613,-15.646138,-30.692234,-3.2270257,14.978671,-9.994175,-17.198334,-20.050436,-34.181023,-21.037575,uno
-220.98303,151.32996,10.100791,8.718912,-26.756683,-26.901682,-5.7845697,16.9806,-15.649655,-30.48433,-23.372515,-35.75551,-10.669505,uno
-217.13396,132.04642,15.052581,23.063065,-27.447779,-37.07036,-1.7628211,0.3864224,-17.880474,-22.006685,-32.731224,-31.946081,-19.49543,uno
-205.93365,142.34718,1.0707101,26.115955,-12.269943,-35.390854,3.617974,10.937208,-19.236362,-19.051605,-30.145247,-39.514618,-17.509897,uno
-205.05667,145.55507,4.6092553,19.958513,-17.587276,-23.821707,-3.852363,7.327563,-20.823053,-25.494318,-26.006912,-38.475014,-18.583622,uno
-218.40004,157.81155,14.239942,24.666039,-17.680628,-29.39821,-5.381516,7.6360354,-7.8462086,-13.215125,-19.299566,-29.929626,-19.318735,uno
-245.9936,146.14171,20.746252,23.604399,-14.281558,-22.859228,-10.095925,6.2646046,-11.52736,-15.985015,-19.642529,-33.89752,-13.594419,uno
-272.76102,149.47163,11.390002,21.579071,-19.41705,-28.458643,-8.087627,6.9093385,-18.803284,-23.381704,-20.309114,-41.591114,-20.24497,uno
-207.94449,164.29465,0.25588137,14.521963,-15.324875,-23.03229,-2.3881197,11.188582,-11.168364,-15.678285,-17.209755,-33.26663,-17.135227,uno
